trip_id,arrival_time,departure_time,stop_id,stop_sequence
101vic,08:00:00,08:00:00,sea,1
101vic,10:45:00,10:45:00,vic,2
101sea,17:00:00,17:00:00,vic,1
101sea,19:45:00,19:45:00,sea,2
102avic,07:30:00,07:30:00,sea,1
102avic,10:30:00,10:30:00,vic,2
102asea,11:30:00,11:30:00,vic,1
102asea,14:15:00,14:15:00,sea,2
102bvic,15:15:00,15:15:00,sea,1
102bvic,18:00:00,18:00:00,vic,2
102bsea,19:00:00,19:00:00,vic,1
102bsea,21:45:00,21:45:00,sea,2
103vic,07:30:00,07:30:00,sea,1
103vic,10:30:00,10:30:00,vic,2
103sea,17:00:00,17:00:00,vic,1
103sea,19:45:00,19:45:00,sea,2
104avic,07:30:00,07:30:00,sea,1
104avic,10:30:00,10:30:00,vic,2
104asea,11:30:00,11:30:00,vic,1
104asea,14:15:00,14:15:00,sea,2
104bvic,15:15:00,15:15:00,sea,1
104bvic,18:00:00,18:00:00,vic,2
104bsea,19:00:00,19:00:00,vic,1
104bsea,21:45:00,21:45:00,sea,2
105vic,07:30:00,07:30:00,sea,1
105vic,10:30:00,10:30:00,vic,2
105sea,17:00:00,17:00:00,vic,1
105sea,19:45:00,19:45:00,sea,2
106vic,08:00:00,08:00:00,sea,1
106vic,10:45:00,10:45:00,vic,2
106sea,17:00:00,17:00:00,vic,1
106sea,19:45:00,19:45:00,sea,2
111vic,08:00:00,08:00:00,sea,1
111vic,10:45:00,10:45:00,vic,2
111sea,17:00:00,17:00:00,vic,1
111sea,19:45:00,19:45:00,sea,2
112vic,08:00:00,08:00:00,sea,1
112vic,10:45:00,10:45:00,vic,2
112sea,17:00:00,17:00:00,vic,1
112sea,19:45:00,19:45:00,sea,2
107vic,06:00:00,06:00:00,sea,1
107vic,08:45:00,08:45:00,vic,2
107sea,17:00:00,17:00:00,vic,1
107sea,19:45:00,19:45:00,sea,2
108vic,08:00:00,08:00:00,sea,1
108vic,10:45:00,10:45:00,vic,2
108sea,14:00:00,14:00:00,vic,1
108sea,16:45:00,16:45:00,sea,2
109vic,07:30:00,07:30:00,sea,1
109vic,10:30:00,10:30:00,vic,2
109sea,17:00:00,17:00:00,vic,1
109sea,19:45:00,19:45:00,sea,2
113vic,08:00:00,08:00:00,sea,1
113vic,10:45:00,10:45:00,vic,2
113sea,12:00:00,12:00:00,vic,1
113sea,14:45:00,14:45:00,sea,2
201fri,08:15:00,08:15:00,sea,1
201fri,11:45:00,11:45:00,fri,2
201sea,17:00:00,17:00:00,fri,1
201sea,19:45:00,19:45:00,sea,2
202fri,08:15:00,08:15:00,sea,1
202fri,11:45:00,11:45:00,fri,2
202sea,17:00:00,17:00:00,fri,1
202sea,19:45:00,19:45:00,sea,2
203fri,08:15:00,08:15:00,sea,1
203fri,11:45:00,11:45:00,fri,2
203sea,17:00:00,17:00:00,fri,1
203sea,19:45:00,19:45:00,sea,2
